investigation_type,event_date,location,country,injury_severity,aircraft_damage,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,primary_key,year,month
Accident,1983-01-05,"HANOVER PARK, IL",United States,Fatal,Destroyed,Cessna,172M,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Takeoff,Probable Cause,CHI83FA076_N9621Q,1983,01
Accident,1983-01-05,"LINDENWOOD, IL",United States,Fatal,Destroyed,Mooney,M-20D,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Approach,Probable Cause,CHI83FA075_N1968Y,1983,01
Accident,1983-01-06,"LA BELLE, FL",United States,Fatal,Destroyed,Cessna,152,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Maneuvering,Probable Cause,MIA83FA057_N89225,1983,01
Accident,1983-01-06,"PORT SULPHUR, LA",United States,Fatal,Destroyed,Teal,TSC-1A,No,1.0,Reciprocating,Personal,One or More,Zero,One or More,Zero,UNK,Maneuvering,Probable Cause,FTW83FRD02_N2004T,1983,01
Accident,1983-01-06,"SULA, MT",United States,Fatal,Substantial,Bell,206B III,No,1.0,Turbo Shaft,Personal,One or More,One or More,Zero,Zero,IMC,Cruise,Probable Cause,DEN83FA045_N55LW,1983,01
Accident,1983-01-07,"NEAR YAKIMA, WA",United States,Fatal,Unknown,Boeing,727,No,3.0,Turbo Fan,Unknown,Unknown,One or More,Unknown,One or More,IMC,Climb,Probable Cause,SEA83LA039_N292WA,1983,01
Accident,1983-01-08,"Goldendale, WA",United States,Fatal,Destroyed,Bellanca,14-19-3,No,1.0,Reciprocating,Personal,One or More,Unknown,Unknown,Unknown,VMC,Cruise,Probable Cause,SEA83LA209_N8807R,1983,01
Accident,1983-01-08,"GREEN COVE SPGS, FL",United States,Fatal,Destroyed,Cessna,150,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,MIA83FA058_N6503G,1983,01
Accident,1983-01-08,"ROMAYOR, TX",United States,Fatal,Destroyed,Cessna,150K,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,FTW83FA078_N6049G,1983,01
Accident,1983-01-09,"CUSHING, OK",United States,Fatal,Destroyed,Mooney,M20E,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,FTW83FA079_N7778M,1983,01
Accident,1983-01-09,"CHERRY POINT, NC",United States,Fatal,Destroyed,Beech,D55,Yes,2.0,Reciprocating,Personal,One or More,Zero,Zero,One or More,VMC,Cruise,Probable Cause,ATL83MA084A_N7142N,1983,01
Accident,1983-01-09,"CHERRY POINT, NC",United States,Fatal,Substantial,Mcdonnell douglas,F4C,Yes,2.0,Turbo Jet,Public Aircraft,One or More,Zero,Zero,One or More,VMC,Maneuvering,Probable Cause,ATL83MA084B_AFNG,1983,01
Accident,1983-01-09,"BRAINERD, MN",United States,Fatal,Substantial,Convair,580-11-A,No,2.0,Reciprocating,Unknown,One or More,One or More,Zero,One or More,IMC,Landing,Probable Cause,DCA83AA013_N8444H,1983,01
Accident,1983-01-11,"DETROIT, MI",United States,Fatal,Destroyed,Mcdonnell douglas,DC-8-54F,No,4.0,Turbo Fan,Unknown,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,DCA83AA014_N8053U,1983,01
Accident,1983-01-13,"SUNRIVER, OR",United States,Fatal,Destroyed,Bellanca,8KCAB,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,SEA83FA042_N29757,1983,01
Accident,1983-01-13,"CORDOVA, AK",United States,Fatal,Destroyed,Bell,206B,No,1.0,Turbo Shaft,Public Aircraft,One or More,One or More,Zero,Zero,VMC,Cruise,Probable Cause,ANC83FA032_N74PR,1983,01
Accident,1983-01-15,"SISSETON, SD",United States,Fatal,Destroyed,Robinson,R22,No,1.0,Reciprocating,Instructional,One or More,Zero,Zero,Zero,IMC,Takeoff,Probable Cause,DEN83FA049_N9079B,1983,01
Accident,1983-01-18,"PALM SPRINGS, CA",United States,Fatal,Destroyed,Piper,PA-32-300,No,1.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Takeoff,Probable Cause,LAX83FUG13_N5208S,1983,01
Accident,1983-01-19,"SAN FRANCISCO, CA",United States,Fatal,Minor,Beech,C-99,No,2.0,Turbo Prop,Unknown,One or More,Zero,Zero,One or More,VMC,Standing,Probable Cause,LAX83FA076_N64002,1983,01
Accident,1983-01-20,"ROBERSONVILLE, NC",United States,Fatal,Destroyed,Piper,PA-28-140,No,1.0,Reciprocating,Business,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,ATL83FLJ01_N98302,1983,01
Accident,1983-01-20,"NYAC, AK",United States,Fatal,Destroyed,Cessna,A185F,No,1.0,Reciprocating,Business,One or More,Zero,Zero,Zero,IMC,Approach,Probable Cause,ANC83FAG03_N61764,1983,01
Accident,1983-01-21,"BURNS, OR",United States,Fatal,Destroyed,Cessna,P210N,No,1.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Unknown,Probable Cause,SEA83FA044_N5162W,1983,01
Accident,1983-01-21,"GOLIAD, TX",United States,Fatal,Destroyed,Bell,206L-3,No,1.0,Turbo Shaft,Business,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,FTW83FA097_N3899U,1983,01
Accident,1983-01-23,"ATHOL, ID",United States,Fatal,Destroyed,Cromwell/pitts,S-1S,Yes,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,SEA83FA045_N56T,1983,01
Accident,1983-01-23,"CASTAIC, CA",United States,Fatal,Destroyed,Cessna,152,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,UNK,Cruise,Probable Cause,LAX83LUQ01_N25061,1983,01
Accident,1983-01-23,"SIREN, WI",United States,Fatal,Destroyed,Piper,PA-22-20,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,CHI83FA090_N3925P,1983,01
Accident,1983-01-27,"REDLANDS, CA",United States,Fatal,Destroyed,Piper,PA-32R-301,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,UNK,Cruise,Probable Cause,LAX83FA438_N8139D,1983,01
Accident,1983-01-27,"SCOTTSDALE, AZ",United States,Fatal,Destroyed,Mitsubishi,MU-2B-60,No,2.0,Turbo Prop,Personal,One or More,One or More,Zero,Zero,VMC,Descent,Probable Cause,LAX83FA083_N440MA,1983,01
Accident,1983-01-27,"MINERSVILLE, UT",United States,Fatal,Destroyed,Cessna,T210N,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,DEN83FA053_CGRFV,1983,01
Accident,1983-01-28,"ATLANTIC CITY, NJ",United States,Fatal,Destroyed,Cessna,310R,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Go-around,Probable Cause,NYC83FA054_N310TA,1983,01
Accident,1983-01-29,"HEMPSTEAD, TX",United States,Fatal,Destroyed,Schweizer,SGS 1-26B,No,1.0,Unknown,Instructional,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,FTW83FA102_N2465W,1983,01
Accident,1983-01-29,"PRATTVILLE, AL",United States,Fatal,Destroyed,Mooney,M-20A,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,ATL83FA091_N8146E,1983,01
Accident,1983-01-29,"TALLAHASSEE, FL",United States,Fatal,Substantial,Mbb,SCORPION TOO,Yes,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,MIA83FA065_N5459G,1983,01
Accident,1983-01-30,"ALTON, ME",United States,Fatal,Destroyed,Taylorcraft,BC12-D,No,1.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Takeoff,Probable Cause,NYC83FA061_N95176,1983,01
Accident,1983-01-31,"SALEM, MO",United States,Fatal,Destroyed,Piper,PA-28R-201T,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Climb,Probable Cause,MKC83FA060_N99SJ,1983,01
Accident,1983-02-01,"MELOZI HOT SPGS, AK",United States,Fatal,Destroyed,Bellanca,8GCBC,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Unknown,Probable Cause,ANC83FA042_N8639V,1983,02
Accident,1983-02-03,"SUNBURY, PA",United States,Fatal,Destroyed,Aero commander,680FL P,Yes,2.0,Reciprocating,Business,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,NYC83FA060_N12LF,1983,02
Accident,1983-02-03,"WEYERS CAVE, VA",United States,Fatal,Destroyed,Cessna,182L,No,1.0,Reciprocating,Personal,One or More,One or More,One or More,Zero,VMC,Takeoff,Probable Cause,ATL83FA095_N3440R,1983,02
Accident,1983-02-04,"INDIO, CA",United States,Fatal,Destroyed,Beech,58,No,2.0,Reciprocating,Business,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,LAX83FA090_N1586W,1983,02
Accident,1983-02-05,"LAS VEGAS, NV",United States,Fatal,Destroyed,Cessna,177RG,No,1.0,Reciprocating,Personal,One or More,Unknown,Unknown,Unknown,IMC,Climb,Probable Cause,LAX83FA091_N1547H,1983,02
Accident,1983-02-05,"LASCASSAS, TN",United States,Fatal,Destroyed,Piper,PA-28-180,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,ATL83FA099_N8366W,1983,02
Accident,1983-02-06,"GORMAN, CA",United States,Fatal,Destroyed,Cessna,T210N,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,LAX83FA095_N1244U,1983,02
Accident,1983-02-06,"WENDEN, AZ",United States,Fatal,Destroyed,Cessna,182P,No,1.0,Reciprocating,Personal,One or More,One or More,One or More,Zero,VMC,Maneuvering,Probable Cause,LAX83FA092_N5943J,1983,02
Accident,1983-02-07,"LEADVILLE, CO",United States,Fatal,Destroyed,Navion,G,No,1.0,Reciprocating,Business,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,DEN83FA056_N91774,1983,02
Accident,1983-02-09,"GARWIN, IA",United States,Fatal,Destroyed,Cessna,TR182,No,1.0,Reciprocating,Business,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,MKC83FA065_N6144T,1983,02
Accident,1983-02-09,"ADDISON, TX",United States,Fatal,Destroyed,Beech,A36TC,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,FTW83FA108_N37365,1983,02
Accident,1983-02-12,"ASTATULA, FL",United States,Fatal,Destroyed,Aeronca,7EC,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,MIA83FA073_N4320C,1983,02
Accident,1983-02-12,"N. WINTER PARK, CO",United States,Fatal,Destroyed,North american,T-28A,No,1.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Maneuvering,Probable Cause,DEN83FA058_N28TW,1983,02
Accident,1983-02-12,"REEDSBURG, WI",United States,Fatal,Destroyed,Champion,7KCAB,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,CHI83FA108_N5277X,1983,02
Accident,1983-02-13,"WINTER HAVEN, FL",United States,Fatal,Destroyed,Rockwell,690A,No,2.0,Turbo Prop,Personal,One or More,One or More,Zero,Zero,IMC,Takeoff,Probable Cause,MIA83FA074_N81416,1983,02
Accident,1983-02-14,"ANDREWS, TX",United States,Fatal,Destroyed,Cessna,310K,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,FTW83FA117_N6916L,1983,02
Accident,1983-02-15,"MOAB, UT",United States,Fatal,Destroyed,Piper,PA-23F-250,No,2.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,DEN83FA062_N63808,1983,02
Accident,1983-02-15,"ASPEN, CO",United States,Fatal,Destroyed,Cessna,340A,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Climb,Probable Cause,DEN83FA059_N33340,1983,02
Accident,1983-02-17,"SAN DIEGO, CA",United States,Fatal,Destroyed,Piper,601P,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,LAX83FA104_N90353,1983,02
Accident,1983-02-21,"ELLSWORTH, KS",United States,Fatal,Destroyed,Cessna,150L,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,MKC83FA069_N18204,1983,02
Accident,1983-02-21,"MOUNT SHASTA, CA",United States,Fatal,Destroyed,Beech,N35,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,LAX83FA350_N9350Y,1983,02
Accident,1983-02-21,"CHUGIAK, AK",United States,Fatal,Substantial,Eagle (ultralight),B,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,ANC83FU002_NONE,1983,02
Accident,1983-02-22,"HENDERSONVILLE, NC",United States,Fatal,Destroyed,Piper,PA-24-180,No,1.0,Reciprocating,Business,One or More,Zero,Zero,Zero,IMC,Descent,Probable Cause,ATL83FA117_N6313P,1983,02
Accident,1983-02-23,"CHULUOTA, FL",United States,Fatal,Destroyed,Cessna,182H,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,MIA83FA081_N2081X,1983,02
Accident,1983-02-23,"DESCANSO, CA",United States,Fatal,Destroyed,Cessna,180J,No,1.0,Reciprocating,Business,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,LAX83FUM04_N3687C,1983,02
Accident,1983-02-23,"BROOKLAND, AR",United States,Fatal,Destroyed,Cessna,P-206C,No,1.0,Reciprocating,Business,One or More,Zero,Zero,Zero,IMC,Go-around,Probable Cause,FTW83FA128_N8637Z,1983,02
Accident,1983-02-23,"PINEVILLE, LA",United States,Fatal,Destroyed,Cessna,172N,No,1.0,Reciprocating,Instructional,One or More,Zero,Zero,Zero,IMC,Approach,Probable Cause,FTW83FA126_N4862G,1983,02
Accident,1983-02-26,"MOUNTVILLE, PA",United States,Fatal,Substantial,Cessna,172M,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Go-around,Probable Cause,NYC83FA071_N12067,1983,02
Accident,1983-02-27,"BROOKSVILLE, FL",United States,Fatal,Destroyed,Piper,PA-32-301,No,1.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Descent,Probable Cause,MIA83FA082_N28216,1983,02
Accident,1983-02-27,"KERMAN, CA",United States,Fatal,Destroyed,Ayres,S2R-R3S,No,1.0,Reciprocating,Aerial Application,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,LAX83FA120_N40160,1983,02
Accident,1983-02-27,"BELOIT, WI",United States,Fatal,Destroyed,Piper,PA-28-140,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,CHI83FA123_N5769F,1983,02
Accident,1983-02-28,"CROSS CITY, FL",United States,Fatal,Destroyed,Piper,PA-32R,No,1.0,Reciprocating,Unknown,One or More,One or More,Zero,Zero,VMC,Landing,Probable Cause,MIA83LA084_N3898F,1983,02
Accident,1983-02-28,"BRIDGEPORT, CA",United States,Fatal,Destroyed,Beech,E55,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,LAX83FA320_N17993,1983,02
Accident,1983-02-28,"PHOENIX, AZ",United States,Fatal,Destroyed,Hughes,269A,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,LAX83FA121_N42426,1983,02
Accident,1983-03-01,"HARVARD, IL",United States,Fatal,Destroyed,Dodd,PITTS S1S,Yes,1.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,CHI83FA125_N11D,1983,03
Accident,1983-03-02,"MOSES LAKE, WA",United States,Fatal,Destroyed,Cessna,140,No,1.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Cruise,Probable Cause,SEA83FA058_N89050,1983,03
Accident,1983-03-02,"BORGER, TX",United States,Fatal,Destroyed,Cessna,177,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,FTW83FA133_N29302,1983,03
Accident,1983-03-04,"ORANGE GROVE, TX",United States,Fatal,Destroyed,Cessna,210-5,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,FTW83FA142_N8270Z,1983,03
Accident,1983-03-05,"SIMI, CA",United States,Fatal,Destroyed,Thorp,T-18,Yes,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Unknown,Probable Cause,LAX83FA124_N3124,1983,03
Accident,1983-03-05,"HOPKINSVILLE, KY",United States,Fatal,Destroyed,Cessna,310,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,ATL83FA128_N923CA,1983,03
Accident,1983-03-05,"HUBBARDS FORK, KY",United States,Fatal,Destroyed,Douglas,B-26C,No,2.0,Reciprocating,Public Aircraft,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,ATL83FA127_N4060A,1983,03
Accident,1983-03-05,"EVANSTON, WY",United States,Fatal,Substantial,Piper,PA-28-181,No,1.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Cruise,Probable Cause,DEN83FA072_N8406F,1983,03
Accident,1983-03-06,"5 NM E. OF KENT, WA",United States,Fatal,Destroyed,Glasair,SH-2,Yes,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,SEA83FA060_N46JS,1983,03
Accident,1983-03-06,"COPPEROPOLIS, CA",United States,Fatal,Destroyed,Beech,V35B,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,LAX83FVG09_N4755M,1983,03
Accident,1983-03-06,"LAKE POWELL, UT",United States,Fatal,Destroyed,Cessna,182Q,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,DEN83FA071_N96460,1983,03
Accident,1983-03-06,"LIMON, CO",United States,Fatal,Destroyed,Cessna,172,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,DEN83FA070_N84822,1983,03
Accident,1983-03-06,"BIRMINGHAM, AL",United States,Fatal,Destroyed,Beech,K35,No,1.0,Reciprocating,Personal,One or More,One or More,One or More,Zero,VMC,Approach,Probable Cause,ATL83FA129_N9543R,1983,03
Accident,1983-03-07,"MCCALL, ID",United States,Fatal,Destroyed,Cessna,182Q,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,SEA83FA113_N735VD,1983,03
Accident,1983-03-07,"MAYFLOWER, AR",United States,Fatal,Destroyed,Cessna,172N,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Descent,Probable Cause,FTW83FA144_N4505E,1983,03
Accident,1983-03-08,"PT REYES, CA",United States,Fatal,Destroyed,Cessna,U2061,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,LAX83FA144_N1456M,1983,03
Accident,1983-03-10,"WRIGHT, WY",United States,Fatal,Destroyed,Champion,7EC,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,DEN83FA077_N7527E,1983,03
Accident,1983-03-11,"FIDDLETOWN, CA",United States,Fatal,Destroyed,Ryan,NAVION A,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Descent,Probable Cause,LAX83FA141_N444N,1983,03
Accident,1983-03-12,"KINGSTON, OK",United States,Fatal,Destroyed,Piper,PA-34-200,No,2.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Takeoff,Probable Cause,FTW83FA149_N43480,1983,03
Accident,1983-03-12,"BENNETT, CO",United States,Fatal,Substantial,Homebuilt,ROTORCRAFT Z6,Yes,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,DEN83FTE07_N23104,1983,03
Accident,1983-03-13,"GLENNS FERRY, ID",United States,Fatal,Destroyed,Cessna,150J,No,1.0,Reciprocating,Ferry,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,SEA83FA062_N60461,1983,03
Accident,1983-03-13,"CHATSWORTH, CA",United States,Fatal,Destroyed,Mooney,M20J,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,LAX83FA138_N8201V,1983,03
Accident,1983-03-13,"SHAWNEE, OK",United States,Fatal,Destroyed,Beech,A23-24,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Landing,Probable Cause,FTW83FA150_N5751V,1983,03
Accident,1983-03-13,"DANVERS, IL",United States,Fatal,Destroyed,Piper,PA-28-161,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,CHI83FA135_N82026,1983,03
Accident,1983-03-13,"SOUTHSIDE, AL",United States,Fatal,Destroyed,Eaa biplane,P-2,Yes,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,ATL83FKJ03_N20KJ,1983,03
Accident,1983-03-14,"ST. LOUIS, MO",United States,Fatal,Destroyed,Robinson,R-22,No,1.0,Reciprocating,Instructional,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,MKC83FA076_N9024Z,1983,03
Accident,1983-03-16,"WAVERLY, GA",United States,Fatal,Destroyed,Bellanca,17-31A,No,1.0,Reciprocating,Instructional,One or More,Zero,Zero,Zero,IMC,Approach,Probable Cause,ATL83FA176_N8855V,1983,03
Accident,1983-03-18,"NORTH ADAMS, MA",United States,Fatal,Destroyed,Mitsubishi,MU-2B-60,No,2.0,Turbo Prop,Executive/corporate,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,NYC83FA078_N473MA,1983,03
Accident,1983-03-19,"LITTLEFIELD, AZ",United States,Fatal,Destroyed,Cessna,182,No,1.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Maneuvering,Probable Cause,LAX83FA396_N2646G,1983,03
Accident,1983-03-19,"TRINITY CENTER, CA",United States,Fatal,Destroyed,Piper,PA-28-151,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,UNK,Cruise,Probable Cause,LAX83FA387_N41576,1983,03
Accident,1983-03-20,"FORT LAUDERDALE, FL",United States,Fatal,Destroyed,Piper,J3C-65,No,1.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,MIA83FA096_N3618K,1983,03
Accident,1983-03-20,"DOS PALOS, CA",United States,Fatal,Destroyed,Cessna,150M,No,1.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Maneuvering,Probable Cause,LAX83FA150_N2832V,1983,03
Accident,1983-03-20,"CROSSVILLE, TN",United States,Fatal,Destroyed,Piper,PA-28-140,No,1.0,Reciprocating,Personal,One or More,One or More,Unknown,Unknown,IMC,Cruise,Probable Cause,ATL83FA140_N9600W,1983,03
Accident,1983-03-20,"FT. LAUDERDALE, FL",United States,Fatal,Substantial,Manta,FOXBAT,Yes,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Landing,Probable Cause,MIA83FU001_NONE,1983,03
Accident,1983-03-21,"NEAR PALA, CA",United States,Fatal,Destroyed,Cessna,170B,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,LAX83FA153_N2462D,1983,03
Accident,1983-03-21,"ROCHESTER, IL",United States,Fatal,Destroyed,Piper,PA-32R-300,No,1.0,Reciprocating,Business,One or More,Zero,Zero,Zero,VMC,Descent,Probable Cause,CHI83FA148_N1057Q,1983,03
Accident,1983-03-22,"SALINAS, CA",United States,Fatal,Destroyed,Bell,206 B III,No,1.0,Turbo Shaft,Unknown,One or More,Zero,Zero,Zero,VMC,Descent,Probable Cause,LAX83FA154_N8163J,1983,03
Accident,1983-03-23,"SALT FLAT, TX",United States,Fatal,Destroyed,Piper,PA-24-260,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,FTW83FA164_N8652P,1983,03
Accident,1983-03-24,"NR LIHUE ARPT, HI",United States,Fatal,Destroyed,Murrayair,MA1B,No,1.0,Reciprocating,Aerial Application,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,LAX83FJA05_N101MA,1983,03
Accident,1983-03-24,"SEDONA, AZ",United States,Fatal,Destroyed,Beech,A36TC,No,1.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,LAX83FA166_N3863U,1983,03
