investigation_type,event_date,location,country,injury_severity,aircraft_damage,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,primary_key,year,month
Accident,1983-06-24,"CELINA, OH",United States,Fatal,Destroyed,"Smith, ted aerostar",601A,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Go-around,Probable Cause,CHI83FA279_N727NM,1983,06
Accident,1983-06-28,"NORMAN, OK",United States,Fatal,Destroyed,Aero commander,680-F,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Go-around,Probable Cause,FTW83FA299_N6139X,1983,06
Accident,1983-07-13,"BISHOP, CA",United States,Fatal,Destroyed,Rolladen-schneider,LS3-A,No,0.0,Unknown,Personal,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,LAX83FA333_N56TM,1983,07
Accident,1983-07-20,"CLEVELAND, OH",United States,Fatal,Destroyed,Aero commander,685,No,2.0,Reciprocating,Executive/corporate,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,CHI83AA326_N3711T,1983,07
Accident,1983-07-28,"BAYPORT, NY",United States,Fatal,Destroyed,North american rockwell corp.,680,No,2.0,Reciprocating,Ferry,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,NYC83FA193_N6878S,1983,07
Accident,1983-07-30,"WARRENTON, VA",United States,Fatal,Destroyed,Schweizer,SGS 1-23G,No,0.0,Unknown,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,ATL83FA299_N3843A,1983,07
Accident,1983-07-30,"BIG LAKE, AK",United States,Fatal,Destroyed,Grumman,G-44A,No,2.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Maneuvering,Probable Cause,ANC83FA137_N1423,1983,07
Accident,1983-08-20,"SHAVER LAKE, CA",United States,Fatal,Destroyed,Boeing vertol,BV-107-II,No,2.0,Turbo Shaft,Unknown,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,LAX83FA395_N190CH,1983,08
Accident,1983-08-21,"SILVANA, WA",United States,Fatal,Destroyed,Lockheed,"LEARSTAR, L-18-56",No,2.0,Reciprocating,Skydiving,One or More,One or More,Unknown,One or More,VMC,Other,Probable Cause,DCA83AA036_N116CA,1983,08
Accident,1983-09-07,"LAPEER, MI",United States,Fatal,Destroyed,Warren,MONERI S,Yes,0.0,Unknown,Personal,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,CHI83FA419_N275HW,1983,09
Accident,1983-09-10,"LAKE HAMILTON, FL",United States,Fatal,Destroyed,Stol aircraft,UC-1,No,2.0,Reciprocating,Instructional,One or More,One or More,Unknown,Unknown,VMC,Landing,Probable Cause,MIA83FA227_N9510U,1983,09
Accident,1983-09-11,"PLAINVIEW, TX",United States,Fatal,Destroyed,Partenavia,P68C,No,2.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,FTW83FA424_N29561,1983,09
Accident,1983-09-14,"DAVENPORT, CA",United States,Fatal,Destroyed,De havilland,B-206,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,IMC,Maneuvering,Probable Cause,LAX83LA467_N206TB,1983,09
Accident,1983-09-15,"GRAND CHENIER, LA",United States,Fatal,Destroyed,Mbb,BO-105S,No,2.0,Turbo Shaft,Business,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,FTW83FA430_N3456T,1983,09
Accident,1983-09-18,"NACOGDOCHES, TX",United States,Fatal,Destroyed,Rockwell,690A,No,2.0,Turbo Prop,Positioning,One or More,Zero,Zero,Zero,IMC,Approach,Probable Cause,FTW83FA431_N111QL,1983,09
Accident,1983-09-30,"MATACUMBE KEY, FL",United States,Fatal,Destroyed,Rockwell,560E,No,2.0,Reciprocating,Unknown,One or More,One or More,Zero,Zero,VMC,Maneuvering,Probable Cause,MIA83FA242_N70C,1983,09
Accident,1983-10-11,"PINCKNEYVILLE, IL",United States,Fatal,Destroyed,Hawker siddeley,HS-748-2A,No,2.0,Turbo Prop,Unknown,One or More,Zero,Zero,Zero,IMC,Climb,Probable Cause,DCA84AA002_N748LL,1983,10
Accident,1983-10-20,"PATTERSON, LA",United States,Fatal,Destroyed,Mitsubishi,MU-2B,No,2.0,Turbo Prop,Executive/corporate,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,FTW84FA028_N444PA,1983,10
Accident,1983-10-28,"MIDDLETOWN, PA",United States,Fatal,Unknown,Short brothers,SD3-30,No,2.0,Turbo Prop,Unknown,One or More,Unknown,Unknown,One or More,VMC,Climb,Probable Cause,NYC84LA015_N26288,1983,10
Accident,1983-11-08,"CLINES CORNERS, NM",United States,Fatal,Destroyed,Aero commander,520,No,2.0,Reciprocating,Ferry,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,FTW84FA047_N4116B,1983,11
Accident,1983-11-15,"ELSINORE, CA",United States,Fatal,Substantial,Lazair,ULTRALIGHT,Yes,4.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,LAX84FU022_NONE,1983,11
Accident,1983-11-20,"FRANKLIN, PA",United States,Fatal,Destroyed,Aero commander,500B,No,2.0,Reciprocating,Executive/corporate,One or More,Zero,Zero,Zero,VMC,Descent,Probable Cause,NYC84FA033_N6226X,1983,11
Accident,1983-12-07,"BLACK MOUNTAIN, NV",United States,Fatal,Destroyed,Aerospatiale,AS 355F,No,2.0,Turbo Shaft,Unknown,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,LAX84FA095_N57901,1983,12
Accident,1983-12-20,"SIOUX FALLS, SD",United States,Fatal,Substantial,Douglas,DC-9-31,No,2.0,Turbo Fan,Unknown,One or More,Zero,One or More,One or More,IMC,Landing,Probable Cause,DCA84AA012_N994Z,1983,12
Accident,1984-01-04,"MORGAN CITY, LA",United States,Fatal,Destroyed,Aerospatiale,AS-355F,No,2.0,Turbo Shaft,Unknown,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,FTW84FA107_N5792X,1984,01
Accident,1984-01-09,"ST. LOUIS, MO",United States,Fatal,Substantial,Douglas,DC-3C,No,2.0,Reciprocating,Positioning,One or More,One or More,Zero,Zero,VMC,Takeoff,Probable Cause,MKC84MA060_CGSCA,1984,01
Accident,1984-01-17,"GREENVILLE, SC",United States,Fatal,Destroyed,Rockwell,690B,No,2.0,Turbo Prop,Business,One or More,Zero,Zero,Zero,IMC,Approach,Probable Cause,ATL84FA084_N81717,1984,01
Incident,1984-01-18,"JAMAICA, NY",United States,Non-fatal,Unknown,Boeing,747-230,No,4.0,Turbo Fan,Unknown,Zero,One or More,One or More,One or More,IMC,Takeoff,Probable Cause,NYC84IA071_DABYO,1984,01
Accident,1984-01-30,"AVALON, CA",United States,Fatal,Destroyed,Learjet,24,No,2.0,Turbo Jet,Business,One or More,Zero,Zero,Zero,VMC,Landing,Probable Cause,DCA84AA016_N44GA,1984,01
Accident,1984-01-30,"TERRE HAUTE, IN",United States,Fatal,Destroyed,Swearingen,SA226TC,No,2.0,Turbo Prop,Positioning,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,DCA84AA015_N63Z,1984,01
Accident,1984-02-05,"MEDFORD, OR",United States,Fatal,Destroyed,Sikorsky,S-61L,No,2.0,Turbo Shaft,Positioning,One or More,One or More,Zero,Zero,VMC,Taxi,Probable Cause,SEA84FA048_N6981R,1984,02
Accident,1984-02-13,"CALIFORNIA CITY, CA",United States,Fatal,Destroyed,Maupin,WOODSTOCK-I,Yes,0.0,Unknown,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,LAX84FA180_N71W,1984,02
Accident,1984-02-19,"PEPPERELL, MA",United States,Fatal,Minor,Panaplane,PAPPILLON,Yes,2.0,Reciprocating,Instructional,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,NYC84FU003_NONE,1984,02
Accident,1984-03-16,"ONEONTA, NY",United States,Fatal,Destroyed,Lockheed,18-56,No,2.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,NYC84FA110_N77777,1984,03
Accident,1984-04-19,"BURLINGTON, CT",United States,Fatal,Destroyed,Mitsubishi,MU-2B-60,No,2.0,Turbo Prop,Positioning,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,DCA84AA022_N466MA,1984,04
Accident,1984-04-23,"MIAMI, FL",United States,Fatal,Minor,Douglas,DC-8-63,No,4.0,Turbo Jet,Unknown,Unknown,One or More,One or More,One or More,VMC,Descent,Probable Cause,MIA84FA146_N940JW,1984,04
Accident,1984-04-29,"WARNER SPRINGS, CA",United States,Fatal,Destroyed,Rolladen-schneider,LS3,No,0.0,Unknown,Personal,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,LAX84FA275_N811,1984,04
Accident,1984-05-18,"LONGMONT, CO",United States,Fatal,Destroyed,Harper/cricri,MK-12,Yes,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,DEN84FTE01_N42JH,1984,05
Accident,1984-05-20,"PEYTON, CO",United States,Fatal,Destroyed,Eipper,QUICKSILVER MX,No,4.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,DEN84FU005_NONE,1984,05
Accident,1984-05-26,"BLICHTON, GA",United States,Fatal,Substantial,Ultraflight,LAZAIR II,Yes,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,ATL84FU004_NONE,1984,05
Accident,1984-05-30,"CHALKHILL, PA",United States,Fatal,Destroyed,Lockheed,L-188,No,4.0,Turbo Prop,Unknown,One or More,Zero,Zero,Zero,UNK,Cruise,Probable Cause,DCA84AA024_N5523,1984,05
Accident,1984-06-04,"WINDSOR LOCKS, CT",United States,Fatal,Destroyed,Learjet,23A,No,2.0,Turbo Jet,Unknown,One or More,Zero,Zero,Zero,VMC,Go-around,Probable Cause,DCA84AA027_N101PP,1984,06
Accident,1984-06-20,"CUMMING, GA",United States,Fatal,Destroyed,Camair aircraft corp.,480,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,ATL84FA203_N231,1984,06
Accident,1984-07-06,"YERMO, CA",United States,Fatal,Destroyed,Entwicklungsgemeinschaft,PHOEBUS C,No,0.0,Unknown,Personal,One or More,Zero,Zero,Zero,VMC,Descent,Probable Cause,LAX84FA382_N880S,1984,07
Accident,1984-07-14,"REHOBETH, MA",United States,Fatal,Destroyed,Mbb,BO-105C,No,2.0,Turbo Shaft,Unknown,One or More,One or More,Zero,Zero,VMC,Cruise,Probable Cause,NYC84FA240_N105CP,1984,07
Accident,1984-07-21,"OUZINKIE, AK",United States,Fatal,Destroyed,Grumman,G-21A,No,2.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,ANC84FA119_N2021A,1984,07
Accident,1984-08-11,"FORT DIX, NJ",United States,Fatal,Destroyed,Sikorsky,S-76A,No,2.0,Turbo Shaft,Business,One or More,One or More,Zero,Zero,VMC,Cruise,Probable Cause,NYC84MA270_N63WW,1984,08
Accident,1984-08-11,"MEMPHIS, TN",United States,Fatal,Destroyed,Douglas,DC3C-S1C3G,No,2.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,ATL84FA251_N70003,1984,08
Accident,1984-08-25,"LITTLE AMERICA, WY",United States,Fatal,Destroyed,Aero commander,690,No,2.0,Turbo Prop,Personal,One or More,Zero,Zero,Zero,UNK,Cruise,Probable Cause,DEN84MA266_N9150N,1984,08
Accident,1984-09-03,"BRIDGEPORT, CT",United States,Fatal,Destroyed,Aero commander,680V,No,2.0,Turbo Prop,Personal,One or More,Zero,Zero,Zero,IMC,Descent,Probable Cause,NYC84FA295_N100CT,1984,09
Accident,1984-09-29,"BRIGHAM CITY, UT",United States,Fatal,Substantial,Rolladen-schneider,LS3,No,0.0,Unknown,Personal,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,DEN84FTM04_N8JN,1984,09
Accident,1984-10-04,"ABERDEEN, SD",United States,Fatal,Destroyed,Hamburger flugzeugbau (hfb),HANSA HFB-320,No,2.0,Turbo Jet,Business,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,DEN85FA002_N127MW,1984,10
Accident,1984-10-08,"SAN FRANCISCO, CA",United States,Fatal,Destroyed,Gates learjet,24B,No,2.0,Turbo Jet,Positioning,One or More,Zero,Zero,Zero,IMC,Takeoff,Probable Cause,LAX85MA008_N864CL,1984,10
Accident,1984-10-09,"CHECOTAH, OK",United States,Fatal,Destroyed,Rockwell,695A,No,2.0,Turbo Prop,Unknown,One or More,Zero,Zero,Zero,VMC,Maneuvering,Probable Cause,FTW85FA010_N81502,1984,10
Accident,1984-10-13,"PORT ISABEL, TX",United States,Fatal,Destroyed,Consolidated-vultee,PBY-6A,No,2.0,Reciprocating,Personal,One or More,One or More,Zero,Zero,VMC,Maneuvering,Probable Cause,FTW85FA012_N16KL,1984,10
Accident,1984-10-31,"WOOSTER, OH",United States,Fatal,Destroyed,Gulfstream,690C,No,2.0,Turbo Prop,Business,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,CHI85FA035_N2937A,1984,10
Accident,1984-12-06,"JACKSONVILLE, FL",United States,Fatal,Destroyed,Embraer,EMB-110P1,No,2.0,Turbo Prop,Unknown,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,DCA85AA004_N96PB,1984,12
Accident,1984-12-13,"GENOA, NV",United States,Fatal,Destroyed,"Smith, ted aerostar",AEROSTAR 601A,No,2.0,Reciprocating,Business,One or More,Zero,Zero,Zero,VMC,Descent,Probable Cause,SEA85FA035_N9781Q,1984,12
Accident,1984-12-20,"PEA RIDGE, AR",United States,Fatal,Destroyed,Aero commander,690A,No,2.0,Turbo Prop,Business,One or More,One or More,Zero,Zero,IMC,Approach,Probable Cause,MKC85FA037_N9229Y,1984,12
Accident,1984-12-20,"WACO, TX",United States,Fatal,Destroyed,Gates learjet,35,No,2.0,Turbo Jet,Unknown,One or More,One or More,Zero,Zero,VMC,Takeoff,Probable Cause,FTW85FA081_N95TC,1984,12
Accident,1985-01-04,"WEST POINT, VA",United States,Fatal,Destroyed,Mitsubishi,MU-2B-25,No,2.0,Turbo Prop,Ferry,One or More,Zero,Zero,Zero,IMC,Approach,Probable Cause,BFO85FA011_N275MA,1985,01
Accident,1985-01-09,"KANSAS CITY, KS",United States,Fatal,Destroyed,Lockheed,188A,No,4.0,Turbo Prop,Unknown,One or More,Zero,Zero,Zero,VMC,Go-around,Probable Cause,DCA85AA009_N357Q,1985,01
Accident,1985-01-21,"RENO, NV",United States,Fatal,Destroyed,Lockheed,188C,No,4.0,Turbo Prop,Unknown,One or More,One or More,Zero,Zero,VMC,Takeoff,Probable Cause,DCA85AA010_N5532,1985,01
Accident,1985-02-09,"CENTRAL POINT, OR",United States,Fatal,Destroyed,Gulfstream,AC-680F,No,2.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,SEA85FA056_N233W,1985,02
Accident,1985-03-01,"KEY WEST, FL",United States,Fatal,Destroyed,Rockwell,680E,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,MIA85LA110_N709G,1985,03
Accident,1985-03-06,"SEPULVEDA, CA",United States,Fatal,Destroyed,"Smith, ted aerostar",601,No,2.0,Reciprocating,Business,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,LAX85FA169_N777PL,1985,03
Accident,1985-03-28,"CALHAN, CO",United States,Fatal,Destroyed,Gulfstream,681,No,2.0,Turbo Prop,Business,One or More,Zero,One or More,One or More,IMC,Descent,Probable Cause,DEN85FA103_N772CB,1985,03
Accident,1985-05-09,"LEWISTOWN, MT",United States,Fatal,Substantial,Consolidated-vultee,PBY-5A,No,2.0,Reciprocating,Aerial Observation,One or More,Zero,One or More,Zero,VMC,Standing,Probable Cause,DEN85FA131_N84857,1985,05
Accident,1985-05-31,"NASHVILLE, TN",United States,Fatal,Destroyed,Gulfstream,G-159,No,2.0,Turbo Prop,Unknown,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,ATL85MA177_N181TG,1985,05
Accident,1985-06-11,"BELMAR, NJ",United States,Fatal,Substantial,Sikorsky,S76A,No,2.0,Turbo Shaft,Executive/corporate,One or More,One or More,One or More,Unknown,VMC,Maneuvering,Probable Cause,NYC85FA145A_N176FJ,1985,06
Accident,1985-06-19,"ROCKSPRINGS, TX",United States,Fatal,Destroyed,Swearingen,SA-26AT,No,2.0,Turbo Prop,Executive/corporate,One or More,Zero,Zero,Zero,VMC,Climb,Probable Cause,FTW85FA259_N199TA,1985,06
Accident,1985-06-20,"BIRMINGHAM, AL",United States,Fatal,Destroyed,Mcdonnell douglas,RF-4C,No,2.0,Turbo Jet,Unknown,One or More,Zero,One or More,Zero,VMC,Landing,Probable Cause,DCA85AA026B_AFNG,1985,06
Accident,1985-06-22,"HEBER CITY, UT",United States,Fatal,Destroyed,Killian,BRIEGLEB BG-12B,Yes,0.0,Unknown,Personal,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,DEN85FTM03_N997,1985,06
Accident,1985-06-24,"CALLAHAN, CA",United States,Fatal,Destroyed,Rolladen-schneider,LS3-A,No,0.0,Unknown,Unknown,One or More,Zero,Zero,Zero,VMC,Unknown,Probable Cause,LAX85FA293_N31JN,1985,06
Incident,1985-07-02,"BOSTON, MA",United States,Non-fatal,Unknown,Douglas,DC-9,No,2.0,Turbo Jet,Unknown,Zero,One or More,Zero,One or More,VMC,Climb,Probable Cause,NYC85FA260_N968BJ,1985,07
Accident,1985-07-19,"ERIE, PA",United States,Fatal,Destroyed,"Smith, ted aerostar",AEROSTAR 601,No,2.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Cruise,Probable Cause,NYC85FA189_N71MA,1985,07
Accident,1985-07-27,"CHESAPEAKE, OH",United States,Fatal,Destroyed,Aero commander,680-FP,No,2.0,Reciprocating,Business,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,ATL85FA224_N100HA,1985,07
Accident,1985-07-29,"NORTHPORT, WA",United States,Fatal,Destroyed,Consolidated-vultee,PBY-6A,No,2.0,Reciprocating,Public Aircraft,One or More,Zero,Zero,Zero,VMC,Landing,Probable Cause,SEA85FA182_N2886D,1985,07
Accident,1985-08-02,"DALLAS/FT WORTH, TX",United States,Fatal,Destroyed,Lockheed,L-1011-385-1,No,3.0,Turbo Fan,Unknown,One or More,One or More,One or More,One or More,IMC,Approach,Probable Cause,DCA85AA031_N726DA,1985,08
Accident,1985-08-20,"GULKANA, AK",United States,Fatal,Destroyed,Gates learjet,24D,No,2.0,Turbo Jet,Unknown,One or More,Zero,Zero,Zero,VMC,Approach,Probable Cause,ANC85MA157_N455JA,1985,08
Accident,1985-09-06,"MILWAUKEE, WI",United States,Fatal,Destroyed,Douglas,DC-9-14,No,2.0,Turbo Fan,Unknown,One or More,Zero,Zero,Zero,VMC,Takeoff,Probable Cause,DCA85AA036_N100ME,1985,09
Accident,1985-09-12,"FORT COLLINS, CO",United States,Fatal,Destroyed,Aero commander,680FL,No,2.0,Reciprocating,Unknown,One or More,Zero,Zero,Zero,VMC,Climb,Probable Cause,DEN85FA240_N45724,1985,09
Accident,1985-09-13,"EVA, AL",United States,Fatal,Destroyed,"Smith, ted aerostar",AEROSTAR 600,No,2.0,Reciprocating,Personal,One or More,Zero,Zero,Zero,VMC,Descent,Probable Cause,ATL85MA275_N680CC,1985,09
Accident,1985-09-16,"CLOQUET, MN",United States,Fatal,Destroyed,Gulfstream,500-S,No,2.0,Reciprocating,Business,One or More,Zero,Zero,Zero,IMC,Approach,Probable Cause,CHI85FA379_N8139P,1985,09
Accident,1985-09-22,"AUBURN, AL",United States,Fatal,Destroyed,Gates learjet,35A,No,2.0,Turbo Fan,Business,One or More,One or More,One or More,Zero,VMC,Approach,Probable Cause,ATL85MA282A_N873LP,1985,09
Accident,1985-10-09,"CADILLAC, MI",United States,Fatal,Destroyed,Gulfstream,690A,No,2.0,Turbo Prop,Business,One or More,Zero,Zero,Zero,IMC,Maneuvering,Probable Cause,CHI86FA007_N254PW,1985,10
Accident,1985-10-11,"HOMER CITY, PA",United States,Fatal,Destroyed,De havilland,DHC-6,No,2.0,Turbo Prop,Unknown,One or More,Zero,Zero,Zero,VMC,Descent,Probable Cause,NYC86FA006_N3257,1985,10
Accident,1985-10-16,"EL PASO, TX",United States,Fatal,Destroyed,Mitsubishi,MU-2B-2D,No,2.0,Turbo Prop,Unknown,One or More,Zero,Zero,Zero,IMC,Cruise,Probable Cause,FTW86FA015_N23CD,1985,10
Accident,1985-10-22,"JUNEAU, AK",United States,Fatal,Destroyed,Gates learjet,24D,No,2.0,Turbo Jet,Unknown,One or More,Zero,Zero,Zero,UNK,Approach,Probable Cause,SEA86MA018_N456JA,1985,10
Accident,1985-10-25,"NORTH CONWAY, NH",United States,Fatal,Destroyed,Schweizer,SGS-1-35C,No,0.0,Unknown,Personal,One or More,Zero,Zero,Zero,VMC,Landing,Probable Cause,NYC86FA017_N2565H,1985,10
Accident,1985-11-10,"FAIRVIEW, NJ",United States,Fatal,Destroyed,Dassault,FALCON 50,No,3.0,Turbo Fan,Executive/corporate,One or More,One or More,Zero,Zero,VMC,Approach,Probable Cause,DCA86AA004A_N784B,1985,11
Accident,1985-11-25,"DES MOINES, IA",United States,Fatal,Destroyed,Rockwell,500-S,No,2.0,Reciprocating,Public Aircraft,One or More,Zero,Zero,Zero,IMC,Approach,Probable Cause,MKC86MA031_N81589,1985,11
Accident,1985-12-03,"CONCORD, CA",United States,Fatal,Destroyed,Aero commander,680T,No,2.0,Turbo Prop,Unknown,One or More,Zero,Zero,Zero,VMC,Unknown,Probable Cause,LAX86FVD03_N17690,1985,12
Accident,1985-12-08,"ROCHESTER, MN",United States,Fatal,Destroyed,Learjet,35A,No,2.0,Turbo Fan,Instructional,One or More,Zero,Zero,Zero,VMC,Go-around,Probable Cause,CHI86FA042_N15TW,1985,12
Accident,1985-12-10,"ADRIAN, MI",United States,Fatal,Destroyed,Aerospatiale,SA365N,No,2.0,Turbo Shaft,Business,One or More,One or More,Unknown,Unknown,IMC,Cruise,Probable Cause,CHI86FA046_N5800H,1985,12
Accident,1985-12-12,"COLLEGE STATION, TX",United States,Fatal,Destroyed,Gates learjet,35A,No,2.0,Turbo Fan,Executive/corporate,One or More,One or More,Unknown,Unknown,IMC,Takeoff,Probable Cause,FTW86FA025_N723GL,1985,12
